# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
8.500000000000001164e+05,3.240000000000000000e+03,9.895054710251202778e+03,-4.616597753924740033e+00,6.723080383416421455e+02
8.500000000000001164e+05,3.280000000000000000e+03,9.885443464803931420e+03,-4.612386383384206034e+00,6.769152401994911088e+02
8.500000000000001164e+05,3.320000000000000000e+03,9.875748419715060663e+03,-4.608209120241559376e+00,6.815282313578559297e+02
8.500000000000001164e+05,3.360000000000000000e+03,9.865969697774573433e+03,-4.604065341005581402e+00,6.861469551008277676e+02
8.500000000000001164e+05,3.400000000000000000e+03,9.856107423931551239e+03,-4.599954448645413585e+00,6.907713768347873611e+02
8.500000000000001164e+05,3.440000000000000000e+03,9.846161725066471263e+03,-4.595875884639458064e+00,6.954014922525645943e+02
8.500000000000001164e+05,3.480000000000000000e+03,9.836132729736862530e+03,-4.591829028326481321e+00,7.000373408928004437e+02
8.500000000000001164e+05,3.520000000000000000e+03,9.826020568050302245e+03,-4.587813304680421922e+00,7.046789855574046442e+02
8.500000000000001164e+05,3.560000000000000000e+03,9.815825371383882157e+03,-4.583828092291315492e+00,7.093265220707253320e+02
9.000000000000001164e+05,1.600000000000000000e+03,1.032524405775125524e+04,-4.844682487332311105e+00,4.924032374750505596e+02
9.000000000000001164e+05,1.640000000000000000e+03,1.031929961364142218e+04,-4.838779645675192143e+00,4.958703168823623741e+02
9.000000000000001164e+05,1.680000000000000000e+03,1.031327762434421129e+04,-4.832921324535616847e+00,4.993998850412294814e+02
9.000000000000001164e+05,1.720000000000000000e+03,1.030717775316966981e+04,-4.827107787012961282e+00,5.029889153530143631e+02
9.000000000000001164e+05,1.760000000000000000e+03,1.030099967902737808e+04,-4.821339022936967922e+00,5.066344722674590457e+02
9.000000000000001164e+05,1.800000000000000000e+03,1.029474309720508063e+04,-4.815615427130937043e+00,5.103336852327523729e+02
9.000000000000001164e+05,1.840000000000000000e+03,1.028840771992749251e+04,-4.809937087961192681e+00,5.140837805298908734e+02
9.000000000000001164e+05,1.880000000000000000e+03,1.028199327694150998e+04,-4.804305752356536452e+00,5.178819896318917699e+02
9.000000000000001164e+05,1.920000000000000000e+03,1.027549961099449683e+04,-4.798723283309580090e+00,5.217256053704517171e+02
9.000000000000001164e+05,1.960000000000000000e+03,1.026892638971744418e+04,-4.793181688665073992e+00,5.256125279222942481e+02
9.000000000000001164e+05,2.000000000000000000e+03,1.026227339575766564e+04,-4.787686105761888911e+00,5.295400820368394079e+02
9.000000000000001164e+05,2.040000000000000000e+03,1.025554043035537143e+04,-4.782236655388604873e+00,5.335059266544669754e+02
9.000000000000001164e+05,2.080000000000000000e+03,1.024872731240892244e+04,-4.776833372129735800e+00,5.375078126787709607e+02
9.000000000000001164e+05,2.120000000000000000e+03,1.024183387835192298e+04,-4.771476292842082856e+00,5.415435791859879373e+02
9.000000000000001164e+05,2.160000000000000000e+03,1.023485998178290538e+04,-4.766165462019266386e+00,5.456111525578194232e+02
